The answers to the math problems can be found below

1.	2
2.	39
3.	29
4.	79
5.	124
6.	110
7.	11
8.	131
9.	134
10.	16
11.	110
12.	7
13.	16
14.	6
15.	4
16.	22
17.	47
18.	37
19.	10
20.	2
21.	32
22.	164
23.	32
24.	74
25.	24
26.	28
27.	91
28.	13
29.	22
30.	79
31.	139
32.	63
33.	24
34.	6
35.	169
36.	113
37.	33
38.	7
39.	4
40.	86
41.	34
42.	142
43.	94
44.	27
45.	79
46.	87
47.	80
48.	22
49.	124
50.	100
51.	136
52.	144
53.	5
54.	64
55.	135
56.	73
57.	62
58.	145
59.	17
60.	38
61.	93
62.	71
63.	80
64.	61
65.	119
66.	114
67.	105
68.	1
69.	8
70.	165
71.	76
72.	100
73.	90
74.	143
75.	73
76.	86
77.	57
78.	66
79.	136
80.	155
81.	2
82.	67
83.	101
84.	34
85.	27
86.	49
87.	6
88.	13
89.	90
90.	78
91.	92
92.	40
93.	160
94.	16
95.	66
96.	24
97.	41
98.	56
99.	115
100.	41
